Compound_Position,Compound_Name,log2_shNC_mean,log2_shRB1_1_mean,log2_shRB1_1_mean_shNC_mean
SK01D17,Flupirtine maleate,0.04506428,-0.224419647,0.269483927
SK01D18,MC1568,-0.771947253,-0.619489373,-0.15245788
SK01D19,Lansoprazole,-0.5613885,-0.655196362,0.093807862
SK01D20,Pralatrexate ,-1.189524536,-1.039911371,-0.149613165
SK01D21,"Epothilone B (EPO906, Patupilone)",-0.259351725,-0.237362082,-0.021989643
SK01D22,Cyclosporine ,-0.332816233,-0.174933517,-0.157882716
SK01D23,DMSO,0.05762553,-0.137997978,0.195623508
SK01D24,DMSO,0.444000263,0.325961886,0.118038376
SK01E01,Linifanib (ABT-869),-0.876253861,-0.867365925,-0.008887936
SK01E02,Triciribine,-0.436833058,-0.300244225,-0.136588833
SK01E03,BMS-536924,-0.27297702,-0.286607556,0.013630536
SK01E04,INO-1001,-0.478961172,-0.371189583,-0.107771589
SK01E05,Erlotinib HCl (OSI-744),-0.056852146,-0.198841319,0.141989173
SK01E06,17-DMAG (Alvespimycin) HCl,-0.157486766,0.139825503,-0.297312268
SK01E07,NVP-AEW541,-0.819822235,-0.663632214,-0.156190021
SK01E08,"Roscovitine (Seliciclib,CYC202)",-0.562930076,-0.893774154,0.330844078
SK01E09,"Temsirolimus (CCI-779, NSC 683864)",0.019844714,0.188098691,-0.168253977
SK01E10,AT13387,-0.122612834,0.188588793,-0.311201627
SK01E11,Enzastaurin (LY317615),-0.279685094,-0.433954204,0.15426911
SK01E12,JNJ-26854165 (Serdemetan),-1.071353927,-0.887726689,-0.183627238
SK01E13,SB431542,-0.101143916,-0.244604284,0.143460368
SK01E14,XAV-939,-0.184600359,-0.411362137,0.226761778
SK01E15,SB202190 (FHPI),-0.349102637,-0.708365117,0.35926248
SK01E16,Fulvestrant,-1.171143029,-1.169220154,-0.001922876
SK01E17,PCI-24781 (Abexinostat),-0.508441443,-1.216133368,0.707691925
SK01E18,Cladribine,-0.994241484,-0.709116865,-0.285124619
SK01E19,"Rucaparib (AG-014699,PF-01367338)",-0.512604563,-0.368710313,-0.143894251
SK01E20,Doxorubicin (Adriamycin),-4.781673057,-4.338045161,-0.443627896
SK01E21,Danusertib (PHA-739358),-0.26566951,-0.348422849,0.082753339
SK01E22,YM201636,0.092192864,-0.394200242,0.486393106
SK01E23,DMSO,0.00283198,0.11671324,-0.11388126
SK01E24,DMSO,0.421697114,0.585246906,-0.163549792
SK01F01,Raloxifene HCl,-0.56776835,-0.568670712,0.000902362
SK01F02,Isotretinoin,-0.793303628,-0.63872518,-0.154578449
SK01F03,Vincristine,-0.922289361,-0.593469066,-0.328820296
SK01F04,Ondansetron HCl,-0.011495503,-0.237749903,0.2262544
SK01F05,Nepafenac,-0.279194067,-0.484534357,0.20534029
SK01F06,Tenofovir Disoproxil Fumarate,-0.509028266,-0.124338394,-0.384689872
SK01F07,CHIR-99021 (CT99021),-0.738656622,-0.747949578,0.009292956
SK01F08,Droxinostat,-0.580055009,-0.636377229,0.056322221
SK01F09,Altretamine,-0.046334266,-0.293591843,0.247257577
